sample_id,true_label,true_class_name,predicted_label,predicted_class_name,confidence,error_type,text_sample
266,2280,Journaux et revues occasion,10,Livres occasion,0.4398881049942333,low_confidence,La Vie Illustree N° 161 A Propos Du Conflit Franco-Turc Journal hebdommadaire. Sommaire : Le Conflit Franco-Turc. L'Armée turque. Le Sultan et roupes Impériales. Li-Hung-Chang par Chusseau-Flaviens. D...
276,1281,Jeux enfant,1280,Jouets enfant,0.9124932586669886,high_confidence,Tyrannosaurus Rex Dinosaur Soft Plastic Modèle Anniversaire Enfants Cadeau Enfants Jouet Enfants Glowing Walking Dinosaur interactif et éducatif Toy Feature Musique Pour les enfants: Matériel: plastiq...
281,1320,Puériculture,2582,Mobilier et accessoires de jardin,0.85953345466327,high_confidence,Stefanplast Bac A Fleurs Rectangulaire Avec Treillis - Finition En Bois - 100x43xh35cm - 80l - Graphite Bac a fleurs rectangulaire avec treillis - Finition en bois - Dimensions : 100x43xH35cm - Capaci...
290,10,Livres occasion,2705,Livres neufs,0.5073077926888431,high_confidence,Un Certain Monsieur Blot 
292,1281,Jeux enfant,1280,Jouets enfant,0.4258193728096442,low_confidence,Nerdy Inventions Board Game (4 Player) pBuild crazy inventions with dice For 2-4 players. Plays in 25-30 min.Ages 8 &amp; up. Plays in 25-30 min.p
296,1280,Jouets enfant,1281,Jeux enfant,0.48236122054964775,low_confidence,Enfant Bébé Spirale Bedstroller Animal En Peluche Educational Modelling Enfant Bébé Spirale BedStroller Modeling animal éducatif jouet en peluche Caractéristiques: Conception de haute qualité et des m...
299,2705,Livres neufs,10,Livres occasion,0.4011255068995263,low_confidence,Un Maître Spirituel Vous Guide 
318,2583,Piscine et accessoires,1560,Mobilier,0.39090888508886545,low_confidence,Coffre de filtration en bois - Ubbink Ce coffre en bois pratique esthétique et discret est idéal pour dissimuler vos installation lié à votre piscine comme le réseau de filtration. Il se ferme avec un...
333,2403,Lots livres et magazines,2280,Journaux et revues occasion,0.6025850710979277,high_confidence,5 Ouvrages De La Revue Française De BridgePublication Mensuelle Année 1974 Janvier Février Mars Avril Juin-Juillet 
334,40,Jeux consoles neuf,1280,Jouets enfant,0.55068502696733,high_confidence,Barbie Coeur De Princesse 
337,2403,Lots livres et magazines,10,Livres occasion,0.32728126431488425,low_confidence,Carte Des Belles Randonnées Au Pays De Neuchâtel.La Collégiale De Neuchatel 
338,1280,Jouets enfant,1302,Jeux et accessoires de plein air,0.8873110899803335,high_confidence,Adorable Ours Cartoon Parfumée Collection Lente Hausse Squeeze Balle Anti-Stress Toy Adorable ours Cartoon Scented lente Collection Rising squeeze balle anti-stress Description Toy: Matériel: Elastic ...
340,2582,Mobilier et accessoires de jardin,1560,Mobilier,0.6181233273650519,high_confidence,Relaxdays 10021788_361 Set De 3 Etagères Murales Cubes Bois Mdf Bleu 10 X 40 X 20 Cm Set: 3 tablettes murales pour vos CD livres etc. - les cubes sont de 3 tailles différentes - étagère déco rectangul...
341,2280,Journaux et revues occasion,10,Livres occasion,0.17283059552196114,low_confidence,Album Pour Mes Petits Amis N°6. Marche Des Petits Soldats De Plomb De Gabriel Pierne Op.14 - N°6 
352,1280,Jouets enfant,2060,Décoration,0.5391097074473274,high_confidence,Luminosité Réglable Led Peinture Dessin Tablette Peinture Traçage Copie Copie Pad De Peinture Pour Cadeau Enfants-Noir Caractéristiques:<br />Tableau de traçage de dessin de boîte à lumière A4 LED vou...
355,2403,Lots livres et magazines,1281,Jeux enfant,0.5914808659831842,high_confidence,Le Guide Marabout Du Scrabble Et 100 Jeux Pour Se Perfectionner Au Scrabble 
365,1180,Jeux de rôle et figurines,1280,Jouets enfant,0.4408814865279983,low_confidence,Masque Effrayant Zombie Latex Avec Cosplay Cheveux Casque Costume D'halloween@Hpp4894 Effrayant Zombie Latex Masque avec casque cheveux cosplay Halloween CostumeFeatures: Son design réaliste chair de ...
370,1320,Puériculture,10,Livres occasion,0.31887726132453087,low_confidence,Babybio Petits Pots Mirabelle Et Pomme 2x130g 
377,1560,Mobilier,2060,Décoration,0.45380939743566506,low_confidence,Buyiesky®Bague Oreiller Vintage Jute Dentelle Maison Mariage Bague Oreiller Vintage Jute Dentelle Maison Mariage Description: Portez un bracelet sur le dos pour les porteurs de bague / garçons côté pa...
378,50,Accessoires gaming,1300,Modélisme,0.4109215306248627,low_confidence,Racing Wheel Black Volant Playfect 36595 
382,1160,Cartes de jeux,1140,Objets pop culture,0.8321677840956325,high_confidence,Harry Potter - L'arcade - 29/80 
389,2060,Décoration,2403,Lots livres et magazines,0.789395192541535,high_confidence,Lot 3 Rouleaux Tissus Imprimés Noel (3x274 Metres ) 
392,2060,Décoration,2522,Fournitures papeterie,0.9520386823811493,high_confidence,Vide-Poches Photo Holder Album Photo Mémoire Photos Album-Souvenir Photo Album 100 photos coffret de rangement famille de mariage Image bébé Film BookDescription: mignon pastoralisme DESIGNA bonne faç...
397,10,Livres occasion,2280,Journaux et revues occasion,0.6028967964075399,high_confidence,La Responsabilite Des Gens De Justice / Revue Justice No 5 1997 
408,1140,Objets pop culture,1280,Jouets enfant,0.5920483505943359,high_confidence,J Doll - Takeshita Street 
411,2403,Lots livres et magazines,10,Livres occasion,0.5207659822427207,high_confidence,Sant-Esteve Del Monestir Mon Village Avant 1914 
415,2403,Lots livres et magazines,10,Livres occasion,0.2871764627297458,low_confidence,Chouette Dictées Ce2 Et Cm1 - Sophie Valle  Hatier 2009 - Entrainement Corrigés Détachables 
427,2403,Lots livres et magazines,1300,Modélisme,0.6601963525598812,high_confidence,"Scrapbook Dessins Ferroviaires ""O"" Ou ""Ho""  "
433,2705,Livres neufs,10,Livres occasion,0.3382501479337126,low_confidence,Fantastique Vallée Des Merveilles : Le Testament Du Mont Bégo 
436,2705,Livres neufs,10,Livres occasion,0.3980611580623306,low_confidence,Le Contrôle Social Du Crime 
459,1302,Jeux et accessoires de plein air,2583,Piscine et accessoires,0.9979978501703449,high_confidence,Piscina À 3 Anelli 3 Rings Pool Petite piscine gonflable diamètre 100 cm par Marvel importe de chine par Mondo Spa
465,1320,Puériculture,1280,Jouets enfant,0.3543878244425935,low_confidence,Vêtements De Bébé Bébé Coton 3 Pièces Set Hat + T-Shirt + Pantalon 70 @Uapavmp110 Vêtements de bébé bébé coton 3 pièces Set Hat &#43; T-shirt &#43; pantalon REMARQUE: S&#39;il vous plaît comparer les ...
471,1280,Jouets enfant,2280,Journaux et revues occasion,0.31263223390109657,low_confidence,Easy Model 1:72 - Germany Eurocopter Ec-665 Tiger - Uht. 74/08. - Em37005 
482,2060,Décoration,2585,Outillage de jardin,0.5165238967985367,high_confidence,Crochet Kit Outils Tissage De La Laine À Tricoter Crochet Fleur Appliquer T Crocheting Decoration 223 Crochet Kit Outils tissage de la laine à tricoter Crochet Fleur Implanter Outils Crocheting Caract...
489,2403,Lots livres et magazines,2280,Journaux et revues occasion,0.6823267430414238,high_confidence,Accident Challenger La Presse De L'époque 
497,2403,Lots livres et magazines,2705,Livres neufs,0.4906857963958639,low_confidence,Au Pays Des Riezes Et Des Sarts N°89 
506,1280,Jouets enfant,1300,Modélisme,0.7345709213421178,high_confidence,Sunnylife Nd32 Filtre Objectif Filtre Solaire Capot Pour Dji Mavic Air Drone Accessoires Shen 1590 anodisé pleine gravure au laser de haute précision antidérapage design moletage fil précis l&#39;inst...
508,2403,Lots livres et magazines,2280,Journaux et revues occasion,0.6798802957530228,high_confidence,L'age D'or De L'automobile Plaques Publicitaires N° 1 À 27 Et 29 
509,1280,Jouets enfant,2705,Livres neufs,0.43827081131141,low_confidence,Dromadaire Violet Personnage Dessin Anime La peluche mesure dans les 18 cm. Elle appartient à un personnage de dessin animé mais j'ai oublié le nom. Je vous laisse regarder les photos. Je lui ai oté s...
510,2585,Outillage de jardin,1560,Mobilier,0.9033208991125826,high_confidence,Concepts de cuisine Cuisine fruits et légumes Brosse Veggie Scrubber Nettoyant pour nettoyeur 504 Concepts de cuisine Cuisine fruits et légumes Brosse Veggie Scrubber Description: 100% neuf avec Quant...
516,40,Jeux consoles neuf,1281,Jeux enfant,0.5210416622391393,high_confidence,Knight Rider-The Game 2 
518,1180,Jeux de rôle et figurines,10,Livres occasion,0.2071917965272923,low_confidence,Armée Ultramarines De 2000 Points 
521,2522,Fournitures papeterie,1560,Mobilier,0.46780170302223045,low_confidence,"500 L Particules De Calage En Polystyrène Pelaspan - Couleur : blanc <br>- Forme en ""S""<br>- Chips de Rembourrage fabriqué en PSE 'polystyrène expansé<br>- Les particules comblent le vide dans les col..."
528,2522,Fournitures papeterie,2060,Décoration,0.6223261159388322,high_confidence,Draeger Lot De 5 Stickers Mural Edgar Degas Noir Une touche de nudité délicate et élégante avec ce sticker mural de l&#39;Homme Nu couché de Edgar Degas - 32X54 cm<br />1 planche 49X69cm de 1 sticker<...
534,2462,Console et Jeux vidéos occasion,1281,Jeux enfant,0.47884635612105964,low_confidence,Lot De 2 Cds De Jeux De Cartes 
538,2403,Lots livres et magazines,1280,Jouets enfant,0.7339043641676655,high_confidence,Lot 3 Magazines Avec Leur Figurine Playmobil 
540,1302,Jeux et accessoires de plein air,1320,Puériculture,0.826625084470625,high_confidence,Bavoir En Toile Ciree Poule bavoir en toile cirée poule
554,1280,Jouets enfant,2280,Journaux et revues occasion,0.42237764745997636,low_confidence,Castors Chinois - 2000 - Ma Jongle Série LES CASTORS CHINOIS - 2000- MA JONGLE
561,1560,Mobilier,2060,Décoration,0.8030278383391862,high_confidence,Set 6 Grand Mesh Pop-Up Film De Protection Écran Alimentaire Couverture Tente Dôme Net Parapluie Pique-Nique Vendu En Magasin Zhufuwme Set 6 Grand Pop-Up Mesh Film de protection écran alimentaire couv...
580,1320,Puériculture,2060,Décoration,0.9918513690919103,high_confidence,Dinosaures 3d Night Light Table Lampe De Bureau 7 Couleurs 3d Lumières Illusion Optique Dinosaures 3D Night Light Table lampe de bureau 7 couleurs 3D Lumières Illusion optique Caractéristique: Touch C...
583,2280,Journaux et revues occasion,2403,Lots livres et magazines,0.5599315563802849,high_confidence,Femmes D'aujourd'hui Publication Hebdomadaire 614 
584,2583,Piscine et accessoires,2403,Lots livres et magazines,0.3489105981740041,low_confidence,Filtre sundance 6540-488 psd125-2000 pour Spa Sundance spas Filtre sundance 6540-488 psd125-2000 compatible avec  880 series optima 780 series chelsee 880 series maxxus 880 series aspen 780 series mon...
592,60,Consoles de jeux,2705,Livres neufs,0.9729997217166596,high_confidence,New 3ds Blanche + La Maison Du Style 2 : Les Reines De La Mode (Préinstallé) <p>Nintendo New 3DS Blanche + le jeu La Nouvelle Maison du Style 2 en version pr&eacute;install&eacute;e.</p> <p>- Une cons...
593,1280,Jouets enfant,1140,Objets pop culture,0.9220503133756152,high_confidence,The Walking Dead Tv Version Figurine Constable Rick Grimes 13 Cm Figurine articulée taille env. 13 cm avec accessoires et tête interchangeable. Livrée en emballage blister.
607,2705,Livres neufs,2403,Lots livres et magazines,0.40836845630164403,low_confidence,Bestiaire De La Terre Du Ciel Et Des Eaux 
612,1281,Jeux enfant,1280,Jouets enfant,0.6551792186812234,high_confidence,Multi-Fonction Smart Music Alloy Mini Robot Jouet Pour Enfants Festival De Cadeau D'anniversaire Multi-Fonction Smart Music Alloy Mini Robot Enfants Jouet Festival Cadeau d&#39;anniversaire Caractéris...
624,10,Livres occasion,2403,Lots livres et magazines,0.36920927228845274,low_confidence,La Révolution Au Guatemala. 1944-1954 : La Révolution Au Guatemala. 1944-1954 
626,40,Jeux consoles neuf,2280,Journaux et revues occasion,0.3236689996734709,low_confidence,Udraw Studio + Tablette Udraw 
629,1180,Jeux de rôle et figurines,1140,Objets pop culture,0.4870748222410232,low_confidence,Kobold Trapmaker D&d Miniatures Night Below 
634,1280,Jouets enfant,1281,Jeux enfant,0.7145530310371775,high_confidence,Petit Canard Jaune Bébé Jouets D'apprentissage Fun Enlighten Swing Tumbler Baby Toy nouveau petit canard jaune bébé Fun Jouets d&#39;apprentissage Enlighten swing Tumbler Bébé Toy cadeau Caractéristiq...
641,1281,Jeux enfant,1180,Jeux de rôle et figurines,0.8868853696706077,high_confidence,Dongeons Et Dragons Miniatures Game Starter Set 
650,1280,Jouets enfant,1140,Objets pop culture,0.29878849896251525,low_confidence,Happy Meal - Pokémon - Feunec 
666,1320,Puériculture,2060,Décoration,0.29167250337544537,low_confidence,Lettre G Michelle Carlslund <p>Lettres en bois de 7 cm de haut. Cette lettre fait partie d&#39;un assortiment très original de l&#39;illustratrice Michelle Carlslund. Ces lettres sont colorées et très...
670,1560,Mobilier,1320,Puériculture,0.5284134731952991,high_confidence,Air Aroma Humidificateur D'air Ultrasonique Aromathérapie Huile Essentielle Diffuseur 300ml Royaume-Uni Sweetheart93 Air Aroma Humidificateur d&#39;air ultrasonique Aromathérapie Huile Essentielle Dif...
683,1281,Jeux enfant,1280,Jouets enfant,0.665752745342807,high_confidence,Petit Jouet Volant Drone Fidget Spinner Stress Relief Cadeau Volant Gyroscop Jouet Petit jouet Drone volant Fidget Spinner Stress Relief cadeau Gyroscop volant Toy NOTE: Ce dispositif n&#39;est pas ét...
684,1140,Objets pop culture,1160,Cartes de jeux,0.47572135056410136,low_confidence,Porte-Cles - World Of Warcraft - Horde 
690,1320,Puériculture,2522,Fournitures papeterie,0.6291784040873103,high_confidence,Leina-Werke Leina Boîte De Premier Secours Pour Automobile Euro 10102 LEINA-WERKE - REF 10102<br>LEINA Boîte de premier secours pour automobile Euro<br>-------------- pour le Markt: D / L / CH / F ---...
696,2522,Fournitures papeterie,2403,Lots livres et magazines,0.2506627922113294,low_confidence,5et B/2400 Etiq Las 64x34 Blc 900079 
701,10,Livres occasion,2403,Lots livres et magazines,0.616667814453418,high_confidence,L'atome Maitre Du Monde 
704,1280,Jouets enfant,1140,Objets pop culture,0.5783622800850688,high_confidence,Star Wars Episode I 16 Watto Plush Star Wars Episode I 16 Watto Plush
724,2060,Décoration,1560,Mobilier,0.834088849321116,high_confidence,Chair Tapis Couverture Souple Artificielle En Peau De Mouton Laine Chaude Poilu Tapis Tapis Tapis Seat Tapis Soft Chair Cover artificielle en peau de mouton laine chaude Seat Tapis Poilu Tapis Tapis D...
733,1560,Mobilier,2582,Mobilier et accessoires de jardin,0.8402634864723825,high_confidence,15l 20l Swimming Waterproof Bag Rafting Outdoor Sports Bag Travel Kit Bkbhpp2499 15L 20L Swimming Waterproof Bags Storage Dry Sack Bag For Canoe Kayak Rafting Outdoor Sport Bags Travel Kit EquipmentMa...
739,1140,Objets pop culture,1280,Jouets enfant,0.4061503561472652,low_confidence,[Tokyo Disney Resort Dumbo Nano Block] Tdr Dumbo Nanoblock (Japan Import) 
740,2583,Piscine et accessoires,1140,Objets pop culture,0.3100537493969892,low_confidence,FIDJI BLANC OU NOIR - Spa fidji 2 places allongees et 3 places assi... Materiaux: COQUE ARISTECH. 200x200x92 . Couleurs Disponibles: PHOTOS. Liste des Caractristiques: CARACTERISTIQUES TECHNIQUES: ; ....
743,2403,Lots livres et magazines,10,Livres occasion,0.3948333961020855,low_confidence,Ancienne Documentation Petits Trains Touristiques 
744,2585,Outillage de jardin,1560,Mobilier,0.48814364599602095,low_confidence,2PC rideaux Clips magnétiques Retenues Boucle perle style décoratif rideau tools 2421 2PCS magnétique rideau crochets corde boucle embrasses Retenues Accueil DecorFeature: 100% tout neuf et haute cord...
754,1160,Cartes de jeux,10,Livres occasion,0.22375042382335206,low_confidence,Enishi Chancelier De Shien - Dl12 Fr009 
758,40,Jeux consoles neuf,10,Livres occasion,0.4782071466746802,low_confidence,Nos Voisins Les Hommes - Zamy Pète Les Plombs 
768,2060,Décoration,1302,Jeux et accessoires de plein air,0.9963403830167071,high_confidence,45000lm 3 X Xm-L T6 Led Lampe Torche 4 X 18650 Lampe Chasse @Lampe De Poche 859 45000LM 15 x XM-L T6 LED lampe torche 4 x 18650 lampe de chasse Description: Ce brillant lampe de poche en alliage d&#39...
785,1940,Épicerie,2522,Fournitures papeterie,0.7783205008172074,high_confidence,10 Sacs Pp Fond Carton 120x275 lots de 10 sacs fond carton 120x275 Emballage pour les bonbons chocolats et confiserie. Sacs 35µ. Stables grâce à leur fond carton. Présentation : Emballage neutre.
786,40,Jeux consoles neuf,50,Accessoires gaming,0.5137184003791343,high_confidence,Mini Haut-Parleurs Led Colorés Haut-Parleurs Stéréo Sans Fil Avec Boule De Commande À Distance Quickio Mini haut-parleurs LED colorés Haut-parleurs stéréo sans fil avec boule fonction de télécommande:...
788,1140,Objets pop culture,1160,Cartes de jeux,0.33778757538177023,low_confidence,X Files - Extra-Terrestre 
789,1281,Jeux enfant,10,Livres occasion,0.2590707963185376,low_confidence,Le Loto Des Musiciens Pour gagner il faut remplir totalement sa portée musicale avant les autres.
793,2060,Décoration,1560,Mobilier,0.5933950398941066,high_confidence,Fouet Mixer Ballon Egg Beater Lait De Cuisine Outil De Cuisson À La Main En Acier Inoxydable De10279 Fouet à la main en acier inoxydable Mixer Ballon d&#39;oeuf Lait Batteur Cuisine cuisson outil Feat...
796,2582,Mobilier et accessoires de jardin,2060,Décoration,0.39552731776572625,low_confidence,Plateau Créatif Conservation Des Aliments Sains Ablage Container Set Outils De Cuisine@Hpp3604 Plateau créatif conservation des aliments sains Ablage Container Set Cuisine ToolsFeature: magie frais pl...
798,1160,Cartes de jeux,40,Jeux consoles neuf,0.7969772265958075,high_confidence,Street Fighter : T. Hawk N45 - 1994 
802,2582,Mobilier et accessoires de jardin,2060,Décoration,0.5146373941882411,high_confidence,Lampe De Table Lumineuse Yes H50 Cm - Blanc Proposé par la marque SLIDE ce luminaire vous apportera une touche toute particulière grâce à son style Art déco. Il embellira à coup sûr la pièce où vous l...
804,40,Jeux consoles neuf,2462,Console et Jeux vidéos occasion,0.5917083099759651,high_confidence,Flipper Collector Pinball Award Plus Alien Plus Console Electronique Avec 10 Jeux Et Radio Fm 
805,1281,Jeux enfant,1280,Jouets enfant,0.9803049953785397,high_confidence,50cm Simulation Baby Doll Doux Enfants Reborn Baby Doll Toy Cadeau Nouveau-Né Garçon Fille 50cm bébé Simulation Poupée Enfants doux Poupée Bébé Jouet Reborn Cadeau du nouveau-né Boy Feature: Nom: simu...
